web-scraper-order,model_raw,Location,PLZ,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,lat,lon
1705078099-268,X5 xDrive 48V 30d M Sport Steptronic,ZH,8953,2022,74900,24700.0,0,0,1,1,0-50k,12350.0,47.40451431274414,8.402215957641602
1705078099-269,X7 xDrive 48V 40i  M Sport Pro Steptronic,BE,3048,3048,124900,,0,0,1,1,,,46.978904724121094,7.463196754455566
1705078099-270,X7 xDrive 48V 40d  M Sport Pro Steptronic,AG,5702,5702,119900,,0,0,1,1,,,46.459197998046875,6.213508605957031
1705078104-271,X5 xDrive 48V 30d M Sport Steptronic,ZH,8051,2022,69500,18900.0,0,0,1,1,0-50k,9450.0,47.40443420410156,8.563179969787598
1705078104-272,X1 xDrive 20i Sport Line Steptronic,VD,1029,2021,32499,65000.0,0,0,1,1,50-120k,21666.67,46.55991744995117,6.563693046569824
1705078104-273,X3 xDrive 30d xLine Steptronic,ZH,8184,2018,38900,75000.0,0,0,1,1,50-120k,12500.0,47.504051208496094,8.544760704040527
1705078104-274,M235i xDrive Steptronic,SZ,8834,2014,35900,12000.0,0,0,1,1,0-50k,1200.0,47.17436218261719,8.717484474182129
1705078104-275,120d xDrive Steptronic Pure M Sport,BE,2504,2504,44800,,0,0,1,1,,,47.14575958251953,7.270869731903076
1705078104-276,M2,BE,2504,2504,86800,,0,0,0,1,,,47.14575958251953,7.270869731903076
1705078104-277,M140i xDrive Steptronic,BL,4153,2019,32500,90000.0,0,0,1,1,50-120k,18000.0,47.50779724121094,7.604830265045166
1705078104-278,X5 xDrive 40i Steptronic,AG,5000,2019,61800,91900.0,0,0,1,1,50-120k,18380.0,47.388832092285156,8.057489395141602
1705078104-279,iX1 xDrive 30 xLine,ZH,8404,2022,62900,13999.0,0,0,1,0,0-50k,6999.5,47.51799392700195,8.762868881225586
1705078104-280,X5 xDrive 48V 40d M Sport Steptronic,VS,1870,2021,64900,70800.0,0,0,1,1,50-120k,23600.0,46.251983642578125,6.946572303771973
1705078111-281,118i Dynamic Edition,BL,4460,2010,4700,232300.0,0,0,0,0,120k+,16592.86,47.467308044433594,7.848388195037842
1705078111-282,420d Gran Coupé xDrive Sport Line Steptronic,ZH,8051,2018,26800,59500.0,0,0,1,1,50-120k,9916.67,47.40443420410156,8.563179969787598
1705078111-283,430i xDrive Cabriolet M Sport Steptronic,VD,1806,1806,75900,,0,0,1,1,,,46.47157669067383,6.875983715057373
1705078111-284,120i M Sport Steptronic,VD,1806,1806,44900,,0,0,0,1,,,46.47157669067383,6.875983715057373
1705078111-285,M3 Touring xDrive Competition M,VD,1806,1806,129900,,0,1,1,1,,,46.47157669067383,6.875983715057373
1705078111-286,X1 xDrive 30e,VD,1806,1806,69900,,0,0,1,1,,,46.47157669067383,6.875983715057373
1705078111-287,i4 M50,VD,1806,1806,92900,,0,0,0,1,,,46.47157669067383,6.875983715057373
1705078111-288,X1 xDrive 30e xLine,VS,1950,1950,76010,,0,0,1,1,,,46.235191345214844,7.360204219818115
1705078111-289,118i Essential Edition,GL,8750,2019,21900,33300.0,0,0,0,0,0-50k,6660.0,47.03010559082031,9.067581176757812
1705078111-290,X4M xDrive Competition Steptronic,ZH,8051,2022,89500,9300.0,0,1,1,1,0-50k,4650.0,47.40443420410156,8.563179969787598
1705078117-291,120d xDrive Steptronic M Sport,BL,4132,2022,36900,27400.0,0,0,1,1,0-50k,13700.0,47.52479553222656,7.647059917449951
1705078117-292,520d xDrive 48V Touring Pure M Sport Edition,ZH,8953,2022,50900,29900.0,0,0,1,1,0-50k,14950.0,47.40451431274414,8.402215957641602
1705078117-293,X2 M35i Steptronic,FR,1726,2022,53900,16400.0,0,0,0,1,0-50k,8200.0,46.718807220458984,7.061389446258545
1705078117-294,X5 xDrive 48V 40i M Sport Steptronic,FR,1726,2022,87900,30000.0,0,0,1,1,0-50k,15000.0,46.718807220458984,7.061389446258545
1705078117-295,520d xDrive 48V M Sport Steptronic,BL,4147,2024,79999,3000.0,0,0,1,1,0-50k,inf,47.465938568115234,7.600322723388672
1705078117-296,X6M Steptronic M Competition,VD,1847,2021,122900,84000.0,0,1,0,1,50-120k,28000.0,46.38278579711914,6.926730632781982
1705078117-297,M440i xDrive 48V Coupé Steptronic,ZH,8051,2022,58500,27800.0,0,0,1,1,0-50k,13900.0,47.40443420410156,8.563179969787598
1705078117-298,X7 xDrive 48V 40d  M Sport Pro Steptronic,VS,1895,1895,139900,,0,0,1,1,,,46.3089714050293,6.902711391448975
1705078117-299,420i Cabriolet Steptronic,GL,8750,2015,27900,26600.0,0,0,0,1,0-50k,2955.56,47.03010559082031,9.067581176757812
1705078117-300,120d xDrive Steptronic M Sport,BE,3400,2021,28800,76600.0,0,0,1,1,50-120k,25533.33,47.05270767211914,7.623175144195557
1705078123-301,116i,SO,4625,2013,8800,104000.0,0,0,0,0,50-120k,9454.55,47.310768127441406,7.766098499298096
1705078123-302,330e Steptronic M Sport,LU,6015,2020,39900,42000.0,0,0,0,1,0-50k,10500.0,47.06412887573242,8.28309440612793
1705078123-303,230e xDrive Active Tourer M Sport,ZH,8032,8032,63800,,0,0,1,1,,,47.36629867553711,8.562403678894043
